lift,our_run,date,our_start,our_end,our_vertical_m,slopes_start,slopes_vertical_m,slopes_distance_m,slopes_duration,note,piste  <-- FILL IN
LIFT-1,09-01 r3,2026-09-01,11:12:39,11:16:14,144,11:12:30,140,973,2.9 min,,
LIFT-1,09-01 r2,2026-09-01,13:09:43,13:13:48,72,13:09:03,71,466,3.3 min,,
LIFT-1,09-02 r2,2026-09-02,11:09:27,11:13:49,131,11:09:16,125,1034,3.9 min,,
LIFT-1,09-02 r3,2026-09-02,11:20:35,11:26:41,128,11:20:30,128,944,5.0 min,,
LIFT-1,09-02 r4,2026-09-02,11:34:06,11:40:22,128,11:34:00,127,981,5.4 min,,
LIFT-1,09-02 r5,2026-09-02,11:46:45,11:56:09,142,11:46:35,120,902,7.3 min,,
LIFT-1,09-02 r7,2026-09-02,12:20:28,12:24:55,127,12:21:41,122,633,2.6 min,,
LIFT-1,09-02 r8,2026-09-02,12:33:18,12:35:31,129,12:33:25,124,832,1.3 min,,
LIFT-1,09-03 r5,2026-09-03,16:15:32,16:22:32,133,16:15:38,133,1186,7.1 min,,
LIFT-1,09-03 r6,2026-09-03,16:29:38,16:36:48,129,16:29:34,120,669,5.1 min,,
LIFT-1,09-03 r7,2026-09-03,16:43:42,16:48:25,75,16:43:55,69,537,2.8 min,,
LIFT-1,09-03 r9,2026-09-03,17:04:11,17:12:46,124,17:03:59,122,1590,5.8 min,,
LIFT-2,09-01 r4,2026-09-01,11:23:26,11:29:55,296,11:22:24,288,1444,6.6 min,,
LIFT-2,09-01 r1,2026-09-01,12:48:48,13:02:21,297,12:48:08,308,1616,11.7 min,,
LIFT-2,09-02 r1,2026-09-02,10:52:08,11:03:15,303,10:51:05,304,1614,10.6 min,,
LIFT-2,09-02 r6,2026-09-02,12:06:01,12:10:58,303,12:05:07,310,1337,5.8 min,,
LIFT-2,09-03 r1,2026-09-03,12:05:36,12:19:09,309,12:06:11,302,1813,11.7 min,,
LIFT-3,09-01 r1,2026-09-01,10:39:52,10:45:33,407,10:39:27,415,2103,5.5 min,,
LIFT-3,09-03 r2,2026-09-03,12:24:23,12:38:11,366,12:23:45,414,2825,19.9 min,we split this Slopes run in two,
LIFT-3,09-03 r3,2026-09-03,12:42:20,12:43:20,51,12:23:45,414,2825,19.9 min,we split this Slopes run in two,
LIFT-4,09-01 r2,2026-09-01,10:57:37,11:01:45,58,10:57:03,62,362,4.3 min,,
LIFT-4,09-03 r4,2026-09-03,12:56:14,12:57:36,57,12:56:09,56,395,1.3 min,,
LIFT-5,09-01 r3,2026-09-01,13:19:33,13:25:43,93,13:20:12,89,1162,5.0 min,,
LIFT-5,09-03 r8,2026-09-03,16:50:37,16:57:29,134,16:50:50,120,1080,5.2 min,,
